MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
HOU vs ATL,2022-04-09,0,244.0,0.273,0.247,0.636,0.519,25,30,4,16,19,29,7,14,4,19,2,6,11,30,8,20,10,23,11,15,2,15,23,23,29,30,10,1,9,17,5,19,3,4,6,17,16,20,7,2,5,22,4,13,20,24,13,8,5,1,7,11,27,30,6,4
HOU vs MIN,2022-04-02,0,271.0,0.273,0.256,0.556,0.564,23,29,15,13,23,30,13,8,8,18,23,1,14,29,26,13,9,20,26,7,2,15,23,3,29,30,6,23,8,16,16,4,7,4,18,1,7,21,3,13,11,22,26,4,19,24,12,23,8,1,14,6,28,30,6,14
HOU vs SAC,2022-03-31,0,239.0,0.273,0.26,0.444,0.364,22,29,19,24,20,30,22,25,10,17,29,15,15,29,29,23,6,21,28,19,3,15,23,20,30,30,5,19,8,17,23,21,7,4,25,21,12,21,14,24,13,24,29,7,13,23,18,19,8,1,21,4,27,30,12,17
HOU vs SAC,2022-03-29,0,239.0,0.364,0.263,0.333,0.355,18,28,23,24,21,30,24,25,8,18,29,15,15,29,29,24,6,21,28,18,5,15,27,21,30,30,13,20,8,17,21,19,8,4,23,21,6,21,10,23,9,24,29,8,10,23,18,19,9,1,24,5,24,30,12,17
HOU vs SAS,2022-03-27,0,243.0,0.364,0.267,0.6,0.405,18,28,11,23,21,30,17,18,11,18,19,10,19,28,16,12,5,20,13,1,4,15,4,8,30,30,15,5,4,16,25,13,9,5,16,27,10,21,26,17,12,24,16,3,8,23,27,12,13,1,11,29,29,30,16,25
HOU vs WAS,2022-03-20,1,212.0,0.182,0.239,0.3,0.429,27,30,24,19,28,30,22,24,11,19,19,23,18,29,27,27,9,22,7,17,11,20,8,12,30,30,4,7,13,20,28,30,6,5,28,29,18,21,6,26,12,23,24,28,15,23,5,6,10,1,13,15,30,30,10,12
HOU vs MEM,2022-03-19,0,220.0,0.182,0.243,0.667,0.676,27,30,11,2,27,30,5,5,9,19,27,5,18,29,15,1,10,24,23,8,16,20,1,1,29,30,3,10,10,21,14,1,4,6,29,23,14,21,19,24,8,26,20,1,16,23,13,17,9,1,27,3,30,30,29,28
HOU vs IND,2022-03-17,0,239.0,0.182,0.246,0.3,0.329,25,30,23,26,27,30,21,22,9,19,16,13,18,29,13,13,11,23,15,12,21,20,2,4,28,30,26,24,8,20,28,27,3,6,20,15,16,20,12,25,7,24,13,9,19,24,9,16,15,1,20,16,30,30,17,23
HOU vs PHX,2022-03-15,0,241.0,0.2,0.25,0.636,0.797,26,30,4,1,27,30,2,1,19,21,3,5,22,29,12,9,16,24,1,4,23,20,5,21,26,30,15,7,11,20,3,6,4,6,6,25,17,20,5,6,15,24,3,9,18,24,7,1,20,1,24,27,30,30,2,7
HOU vs DAL,2022-03-10,0,213.0,0.25,0.258,0.714,0.606,22,29,6,7,26,30,18,10,6,19,28,23,14,28,28,24,11,23,28,22,17,20,21,27,26,30,2,3,7,19,21,25,2,5,8,8,15,21,17,22,3,24,26,25,21,24,20,20,11,1,28,24,30,30,21,18
