MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
NYK vs TOR,2022-04-09,1,199.0,0.545,0.444,0.818,0.593,11,19,1,9,13,18,3,11,13,27,5,20,10,4,3,9,20,30,19,29,12,12,11,17,4,10,5,2,11,27,4,2,1,10,12,20,9,13,24,19,13,24,2,4,28,27,25,25,3,2,14,18,30,26,16,23
NYK vs BKN,2022-04-05,0,208.0,0.636,0.443,0.5,0.519,6,19,16,15,10,19,12,15,14,27,19,10,7,3,19,19,19,30,19,11,9,11,3,5,4,11,25,15,11,27,18,22,3,11,26,27,11,13,6,11,13,25,24,14,29,27,8,4,1,2,16,16,25,26,4,6
NYK vs CLE,2022-04-01,0,220.0,0.6,0.442,0.364,0.545,9,19,20,14,10,19,24,12,25,27,17,26,20,4,12,17,29,30,15,11,18,13,22,24,3,11,21,24,17,27,13,22,9,12,21,23,12,13,23,19,27,25,13,29,29,27,19,9,2,2,4,14,28,26,22,21
NYK vs CHA,2022-03-29,0,239.0,0.636,0.447,0.7,0.513,5,19,5,16,7,19,8,17,13,25,16,3,3,2,23,10,20,30,3,1,14,13,8,10,19,12,5,9,13,26,13,5,4,10,10,5,12,12,4,8,11,22,18,3,29,27,5,14,1,2,25,16,27,26,25,27
NYK vs CHI,2022-03-27,1,213.0,0.636,0.44,0.4,0.581,5,19,18,11,7,19,27,15,9,25,27,15,2,2,27,29,18,29,25,17,11,13,29,24,17,12,6,6,7,25,15,23,5,9,30,30,9,11,25,2,10,20,24,25,26,27,20,2,1,2,17,22,23,26,13,5
NYK vs ATL,2022-03-21,0,228.0,0.5,0.423,0.545,0.493,15,20,10,18,8,18,13,15,21,27,9,12,10,6,15,23,29,30,11,16,18,13,19,23,8,12,3,1,21,28,10,25,24,13,7,21,8,13,24,3,23,27,7,18,27,27,19,9,3,2,11,16,24,25,3,5
NYK vs UTA,2022-03-19,0,201.0,0.5,0.429,0.636,0.629,14,19,5,5,6,18,6,2,19,26,5,7,5,4,1,5,27,30,14,26,16,12,6,13,12,11,23,17,21,28,13,23,25,13,2,2,10,13,7,7,22,24,4,25,26,27,20,5,1,2,9,8,24,25,27,14
NYK vs WAS,2022-03-17,1,197.0,0.4,0.42,0.2,0.426,19,19,25,19,10,19,26,24,22,27,19,25,9,4,26,28,27,30,6,17,16,10,4,12,13,11,11,8,27,29,22,30,21,13,27,29,10,12,3,26,24,23,23,28,24,27,6,7,2,2,22,17,27,25,11,11
NYK vs POR,2022-03-15,1,226.0,0.333,0.412,0.125,0.388,21,21,30,23,15,20,30,26,27,27,30,28,18,4,30,26,28,30,30,27,26,10,30,22,10,11,12,14,30,29,29,15,27,14,29,12,13,12,30,17,27,23,30,26,26,27,30,25,4,3,23,16,28,25,13,18
NYK vs PHI,2022-02-26,0,234.0,0.143,0.417,0.714,0.61,27,21,6,7,24,21,12,12,25,28,22,26,15,6,22,29,26,29,23,24,11,9,22,6,10,10,3,1,27,28,20,16,8,10,26,29,26,15,6,9,18,24,24,30,30,28,22,12,7,4,9,10,15,25,2,3
