MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
BOS vs WAS,2022-04-02,1,246.0,0.7,0.615,0.455,0.442,5,5,15,19,2,2,17,22,18,13,10,24,19,3,12,27,16,15,4,12,12,2,5,8,9,13,11,8,18,18,18,30,11,9,20,29,4,17,21,26,22,17,12,28,4,16,8,6,24,21,10,15,1,2,15,12
BOS vs IND,2022-03-31,1,251.0,0.7,0.61,0.3,0.325,7,7,22,26,2,2,26,24,21,14,24,12,17,4,28,16,16,15,10,10,14,2,14,4,3,13,16,23,19,18,18,26,10,10,20,15,7,16,20,25,24,17,17,6,5,17,14,16,26,21,27,19,4,2,13,21
BOS vs MIA,2022-03-29,0,204.0,0.8,0.618,0.4,0.632,3,5,18,3,1,2,18,6,15,13,25,17,15,3,27,18,10,14,24,8,6,2,30,30,3,13,20,27,17,19,24,16,12,9,14,14,7,15,19,1,22,16,26,27,3,15,22,13,25,22,21,20,5,2,3,4
BOS vs MIN,2022-03-26,1,246.0,0.889,0.622,0.7,0.573,2,5,5,11,1,2,2,8,24,17,10,1,27,5,13,10,24,14,16,7,12,2,17,3,1,13,14,23,20,20,8,4,21,10,4,1,3,16,8,13,30,20,19,3,4,17,14,23,28,23,4,5,7,2,3,15
BOS vs UTA,2022-03-22,1,222.0,0.889,0.616,0.583,0.625,2,5,5,5,3,3,7,2,29,13,2,6,27,3,1,4,27,13,9,26,16,2,2,8,1,13,29,17,22,18,5,21,20,8,1,2,6,19,10,6,29,15,1,23,6,18,19,5,27,20,4,7,7,2,21,13
BOS vs DAL,2022-03-12,0,187.0,0.875,0.603,0.75,0.612,2,7,5,7,2,4,15,8,19,14,27,22,21,3,27,24,10,13,29,22,5,2,18,26,3,16,4,3,19,19,24,25,14,8,9,7,16,20,20,22,22,12,28,26,9,19,22,20,21,19,26,23,4,3,22,19
BOS vs DET,2022-03-10,1,217.0,0.857,0.597,0.625,0.273,3,7,6,28,5,4,17,29,18,14,8,29,22,3,3,25,8,13,8,24,3,2,10,13,4,17,20,19,23,19,15,14,13,9,10,18,11,20,18,29,22,15,2,14,10,19,24,29,25,17,13,13,4,2,14,14
BOS vs BKN,2022-03-05,1,246.0,0.75,0.585,0.375,0.5,2,10,15,16,2,4,24,19,4,11,9,14,6,2,13,18,2,13,16,11,2,2,12,7,20,19,25,14,27,18,25,27,3,8,13,25,5,21,20,18,9,11,6,13,5,21,24,10,16,18,11,17,2,2,20,6
BOS vs MEM,2022-03-02,1,227.0,0.75,0.578,0.714,0.683,1,9,7,2,2,4,5,5,9,8,17,2,11,2,4,1,6,13,17,7,1,2,5,1,14,18,15,11,21,18,18,1,5,8,28,23,8,22,14,24,15,8,17,2,11,20,19,16,11,15,1,2,4,2,28,27
BOS vs ATL,2022-02-28,1,205.0,0.75,0.571,0.571,0.483,2,9,12,18,1,4,7,15,8,10,18,15,7,2,22,25,6,13,19,17,1,2,10,23,12,18,4,1,19,17,23,29,4,8,22,23,9,21,3,1,12,8,17,23,9,21,10,5,12,15,26,19,10,2,3,5
