MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
MIN vs CHI,2022-04-09,0,244.0,0.444,0.568,0.364,0.556,19,12,19,13,21,9,28,19,27,1,14,12,28,14,20,29,26,7,22,17,23,4,25,25,2,21,7,5,16,3,18,24,15,1,27,30,10,12,22,4,27,5,9,20,17,23,19,3,20,7,9,21,15,14,12,3
MIN vs SAS,2022-04-06,1,248.0,0.444,0.563,0.778,0.43,19,12,3,22,20,8,4,16,23,1,25,10,27,14,22,8,24,6,18,2,23,4,21,10,3,23,3,5,10,3,23,12,17,1,23,26,8,12,23,17,26,3,24,2,13,21,23,12,17,6,18,28,14,14,15,25
MIN vs WAS,2022-04-04,0,246.0,0.556,0.57,0.455,0.436,14,11,14,20,14,8,23,22,22,1,8,24,27,12,4,27,24,6,2,14,18,3,3,8,10,23,15,8,9,3,19,30,17,1,22,29,5,12,19,26,27,3,4,27,12,21,13,6,16,5,7,15,9,14,11,11
MIN vs DAL,2022-03-24,1,211.0,0.727,0.568,0.7,0.616,2,11,6,7,1,8,18,9,3,1,27,24,8,11,22,25,3,7,30,23,4,3,24,26,25,24,7,3,2,3,28,28,2,1,10,9,7,13,30,24,8,3,24,26,9,22,23,20,4,5,21,24,4,14,16,18
MIN vs PHX,2022-03-22,0,241.0,0.8,0.575,0.818,0.806,2,11,1,1,1,8,2,1,7,1,3,4,11,11,8,8,10,6,2,4,4,3,4,22,21,25,20,7,2,3,3,6,3,1,12,26,3,12,4,5,16,3,5,8,9,23,2,1,5,5,21,27,5,14,2,6
MIN vs MIL,2022-03-18,1,257.0,0.9,0.577,0.8,0.629,1,11,2,5,1,8,5,7,6,1,8,5,21,13,8,3,8,7,23,21,7,3,28,28,20,26,6,11,2,4,17,12,2,1,14,4,4,13,1,4,21,3,19,13,3,22,7,12,8,6,5,7,4,14,16,16
MIN vs LAL,2022-03-15,1,228.0,0.818,0.571,0.2,0.426,1,12,26,19,1,8,28,22,1,1,18,18,5,12,20,22,3,8,25,21,4,3,8,5,29,25,27,23,1,3,11,8,1,1,10,18,7,13,14,19,4,3,17,16,5,22,23,11,3,5,19,10,6,16,18,29
MIN vs OKC,2022-03-08,1,234.0,0.75,0.561,0.25,0.308,3,13,23,27,1,11,29,27,4,3,12,30,10,13,8,8,4,8,16,29,3,3,7,16,28,24,25,12,3,3,2,9,2,1,8,7,19,18,27,30,9,4,5,11,13,23,22,30,5,6,22,29,9,16,16,19
MIN vs POR,2022-03-06,1,205.0,0.75,0.554,0.333,0.397,2,13,23,23,7,12,29,26,4,3,29,26,15,14,29,26,1,8,29,26,4,3,30,21,25,24,7,14,2,4,25,15,2,1,27,8,21,18,23,14,9,4,30,26,14,22,29,25,5,7,21,16,21,16,12,20
MIN vs POR,2022-03-04,1,256.0,0.75,0.547,0.5,0.403,3,13,16,22,8,12,28,25,2,2,29,26,16,15,29,27,5,7,29,26,4,3,29,22,28,24,9,13,3,4,26,15,1,1,26,8,14,18,25,16,7,4,29,26,17,23,28,25,4,8,26,17,16,17,13,21
MIN vs GSW,2022-02-28,1,243.0,0.556,0.532,0.286,0.705,7,13,24,2,20,14,19,2,1,4,25,14,6,15,24,10,1,8,17,3,2,3,23,14,24,22,1,29,5,5,10,2,1,1,8,2,15,18,22,8,1,4,24,21,19,23,23,7,3,8,23,22,18,18,19,19
MIN vs PHI,2022-02-24,0,235.0,0.625,0.533,0.571,0.603,6,13,11,8,13,13,19,14,2,3,23,24,12,9,19,30,4,8,25,25,2,3,14,6,17,25,6,1,13,5,26,17,1,1,28,30,9,19,20,11,5,3,24,30,21,24,22,12,3,5,10,14,21,21,5,2
MIN vs MEM,2022-02-23,1,233.0,0.625,0.525,0.833,0.683,7,14,7,3,11,14,3,5,2,4,21,2,9,15,17,1,4,8,21,6,2,3,13,1,18,23,1,10,7,5,14,1,1,1,29,21,8,19,12,24,4,4,26,1,19,25,7,15,1,8,3,2,15,19,29,28
MIN vs TOR,2022-02-15,0,194.0,0.636,0.534,0.727,0.554,6,13,4,13,7,12,9,13,2,4,5,25,14,14,10,25,3,9,20,29,3,3,10,19,8,20,19,3,5,5,1,3,1,1,11,19,5,19,2,12,2,4,5,12,8,23,17,26,4,9,8,24,12,18,19,23
