MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
BOS vs MIL,2023-11-21,1,235.0,0.727,0.786,0.727,0.714,2,1,2,2,2,1,6,9,5,10,2,4,1,3,7,16,15,20,13,19,9,10,6,15,11,11,14,16,27,26,19,21,1,1,4,7,13,13,4,6,4,10,8,19,18,15,5,4,11,19,3,4,11,10,18,20
BOS vs NYK,2023-11-12,1,212.0,0.778,0.778,0.556,0.556,4,4,11,11,1,1,6,6,18,18,27,27,7,7,9,9,21,21,28,28,18,18,30,30,5,5,4,4,27,27,10,10,6,6,11,11,13,13,16,16,19,19,18,18,11,11,30,30,20,20,12,12,10,10,28,28
BOS vs TOR,2023-11-10,1,211.0,0.75,0.75,0.5,0.5,4,4,12,12,1,1,13,13,16,16,26,26,8,8,14,14,24,24,12,12,19,19,20,20,3,3,19,19,25,25,21,21,6,6,18,18,15,15,18,18,17,17,21,21,16,16,18,18,16,16,29,29,8,8,30,30
BOS vs BKN,2023-11-09,1,228.0,0.714,0.714,0.5,0.5,6,6,11,11,2,2,16,16,23,23,11,11,16,16,10,10,29,29,9,9,19,19,11,11,3,3,6,6,23,23,29,29,9,9,5,5,14,14,5,5,24,24,8,8,16,16,14,14,23,23,30,30,6,6,20,20
BOS vs IND,2023-10-31,1,259.0,1.0,1.0,0.667,0.667,2,2,7,7,5,5,6,6,24,24,21,21,19,19,21,21,27,27,9,9,10,10,19,19,9,9,3,3,22,22,26,26,11,11,16,16,13,13,10,10,23,23,20,20,7,7,10,10,29,29,28,28,13,13,1,1
