MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
NOP vs SAC,2023-11-21,1,229.0,0.455,0.5,0.6,0.615,17,16,10,11,15,20,20,19,6,14,21,23,4,11,18,25,4,13,10,10,12,19,25,24,23,19,17,8,9,14,8,15,14,21,5,4,6,11,27,24,5,13,22,25,11,13,19,22,7,9,16,18,22,25,30,28
NOP vs SAC,2023-11-19,1,222.0,0.364,0.462,0.667,0.667,20,16,10,8,25,22,12,10,6,15,28,24,8,17,25,25,12,18,20,12,19,19,25,24,21,19,7,3,9,16,10,14,12,22,9,6,15,14,19,19,6,17,28,24,19,18,16,16,5,9,24,19,25,26,28,27
NOP vs MIN,2023-11-17,0,241.0,0.455,0.5,0.8,0.727,16,14,2,5,24,22,3,5,8,17,17,28,6,16,13,18,12,19,21,27,18,21,10,11,18,15,20,15,11,17,13,18,12,22,27,29,20,14,10,15,6,16,24,29,20,19,2,8,5,9,12,17,29,28,17,14
NOP vs DEN,2023-11-16,1,225.0,0.4,0.455,0.8,0.818,18,18,1,1,25,23,3,2,18,19,15,15,18,20,14,18,22,23,4,5,22,23,7,9,11,12,7,6,16,17,22,22,19,20,22,23,24,19,21,17,18,19,20,21,22,22,1,1,10,11,26,27,27,25,29,30
NOP vs DAL,2023-11-13,1,241.0,0.4,0.4,0.8,0.8,19,19,1,1,27,27,5,5,18,18,3,3,11,11,21,21,23,23,11,11,24,24,23,23,16,16,3,3,23,23,24,24,18,18,1,1,22,22,1,1,15,15,14,14,24,24,5,5,9,9,4,4,26,26,19,19
NOP vs DAL,2023-11-11,0,260.0,0.444,0.444,0.778,0.778,14,14,2,2,26,26,5,5,21,21,4,4,13,13,21,21,26,26,13,13,22,22,25,25,15,15,6,6,21,21,27,27,19,19,3,3,24,24,1,1,14,14,13,13,26,26,7,7,10,10,4,4,19,19,20,20
NOP vs ATL,2023-11-03,0,228.0,0.8,0.8,0.6,0.6,3,3,6,6,13,13,6,6,23,23,13,13,16,16,17,17,23,23,14,14,17,17,27,27,9,9,14,14,20,20,10,10,18,18,25,25,22,22,18,18,17,17,16,16,26,26,5,5,10,10,7,7,29,29,1,1
NOP vs DET,2023-11-01,1,241.0,0.75,0.75,0.4,0.4,5,5,10,10,18,18,13,13,29,29,8,8,18,18,3,3,28,28,2,2,23,23,5,5,6,6,30,30,19,19,19,19,21,21,19,19,24,24,6,6,20,20,8,8,25,25,18,18,19,19,17,17,30,30,11,11
