MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
ATL vs BKN,2023-11-21,1,292.0,0.444,0.462,0.5,0.462,20,18,17,18,16,14,19,20,24,13,25,26,25,24,10,15,26,18,22,22,21,22,17,18,17,20,7,8,18,9,30,30,19,17,6,10,12,12,8,5,28,27,16,26,8,7,25,18,11,6,29,30,6,5,24,21
ATL vs IND,2023-11-20,0,309.0,0.5,0.5,0.556,0.583,20,18,15,13,13,12,18,13,29,25,16,17,29,26,30,29,29,25,14,7,23,24,10,14,9,12,2,1,23,12,17,23,27,23,13,12,19,17,8,7,30,28,20,23,17,10,3,4,17,9,24,28,6,4,13,9
ATL vs PHI,2023-11-16,0,242.0,0.6,0.545,0.8,0.727,8,10,1,4,9,10,2,3,8,9,10,10,13,15,6,10,13,14,18,18,16,19,4,6,25,21,9,9,8,7,11,14,12,11,28,28,8,16,19,13,19,18,16,19,6,9,8,5,7,7,3,5,4,4,1,3
ATL vs NYK,2023-11-14,0,230.0,0.6,0.6,0.5,0.5,9,9,15,15,9,9,8,8,11,13,25,26,13,16,7,9,14,15,28,28,22,22,30,30,19,18,4,4,8,9,11,11,13,13,11,11,18,18,13,12,15,17,15,17,13,13,30,30,7,8,10,11,4,4,29,29
ATL vs MIA,2023-11-10,0,226.0,0.625,0.625,0.5,0.5,8,8,12,12,9,9,18,18,14,14,28,28,17,17,27,27,15,15,19,19,27,27,28,28,14,14,17,17,8,8,10,10,18,18,25,25,21,21,4,4,20,20,29,29,14,14,24,24,6,6,28,28,3,3,5,5
ATL vs WAS,2023-10-31,1,251.0,0.5,0.5,0.333,0.333,7,7,20,20,9,9,26,26,1,1,26,26,16,16,28,28,3,3,21,21,22,22,16,16,16,16,4,4,2,2,17,17,15,15,24,24,12,12,19,19,7,7,21,21,5,5,19,19,2,2,17,17,2,2,18,18
