MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
CHI vs MIA,2023-11-19,0,218.0,0.364,0.357,0.7,0.615,20,22,6,8,18,22,9,17,14,12,22,21,13,11,25,23,22,23,18,15,14,18,27,28,6,4,15,13,2,1,5,4,13,12,18,17,16,24,18,12,7,3,25,23,26,28,14,23,14,15,14,13,9,9,2,3
CHI vs MIA,2023-11-17,1,199.0,0.273,0.308,0.7,0.667,22,22,4,5,22,23,13,18,12,10,19,19,13,10,24,21,23,22,17,14,15,19,27,28,4,6,17,10,1,1,7,4,18,14,16,20,12,24,18,11,2,2,26,23,25,27,15,23,13,13,15,14,9,9,3,3
CHI vs ORL,2023-11-16,0,200.0,0.364,0.333,0.5,0.545,18,22,15,10,20,22,18,11,11,12,24,25,9,11,18,15,23,21,20,24,16,17,19,19,2,2,27,25,1,1,2,2,15,14,23,25,22,22,25,27,2,2,21,23,27,27,26,25,13,15,2,4,8,9,25,21
CHI vs ORL,2023-11-14,0,190.0,0.364,0.364,0.5,0.5,20,20,15,15,22,22,13,13,12,14,24,25,17,20,20,22,20,21,22,23,15,15,16,16,2,2,23,22,1,1,4,5,17,18,24,26,21,20,27,27,4,5,23,24,27,27,25,24,17,17,4,6,10,10,21,21
CHI vs DET,2023-11-11,1,227.0,0.333,0.333,0.2,0.2,22,22,28,28,24,24,21,21,18,18,5,5,24,24,3,3,23,23,2,2,25,25,7,7,2,2,29,29,2,2,28,28,22,22,17,17,19,19,11,11,6,6,3,3,25,25,17,17,20,20,15,15,11,11,5,5
CHI vs PHX,2023-11-07,0,231.0,0.375,0.375,0.429,0.429,13,13,13,13,26,26,12,12,6,6,12,12,7,7,14,14,16,16,11,11,22,22,2,2,11,11,27,27,1,1,13,13,12,12,20,20,21,21,17,17,2,2,21,21,26,26,17,17,13,13,7,7,10,10,4,4
CHI vs UTA,2023-11-05,1,243.0,0.286,0.286,0.286,0.286,21,21,21,21,30,30,28,28,10,10,4,4,11,11,1,1,17,17,5,5,21,21,20,20,13,13,29,29,5,5,19,19,15,15,3,3,27,27,15,15,3,3,1,1,27,27,24,24,14,14,10,10,10,10,20,20
CHI vs BKN,2023-11-02,0,216.0,0.4,0.4,0.5,0.5,13,13,13,13,28,28,11,11,15,15,24,24,17,17,22,22,25,25,18,18,20,20,20,20,10,10,13,13,4,4,28,28,20,20,26,26,28,28,2,2,4,4,28,28,28,28,4,4,17,17,23,23,6,6,18,18
