MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
LAL vs DAL,2023-11-21,0,205.0,0.636,0.6,0.545,0.643,6,7,10,7,12,16,14,11,7,3,1,1,6,5,12,17,7,7,6,11,2,2,23,25,28,27,10,3,4,5,22,28,25,22,2,2,16,25,7,3,10,7,2,8,4,5,10,8,2,1,5,6,23,18,28,26
LAL vs UTA,2023-11-20,1,230.0,0.6,0.571,0.333,0.308,8,9,22,24,19,22,22,24,17,10,24,16,19,9,20,7,17,13,21,14,3,1,4,10,25,24,28,28,7,6,29,27,30,25,11,11,15,26,4,10,21,17,26,13,5,6,18,24,7,3,21,20,25,20,5,7
LAL vs HOU,2023-11-18,1,209.0,0.545,0.538,0.75,0.6,10,10,10,14,21,20,4,8,5,6,30,30,3,6,29,30,6,7,30,30,1,1,29,29,25,24,1,1,11,9,29,30,19,24,30,30,16,21,6,13,8,12,30,30,4,6,19,17,2,2,30,29,18,18,16,24
LAL vs SAC,2023-11-14,0,235.0,0.6,0.545,0.556,0.556,9,9,15,15,18,19,17,17,20,9,28,29,24,8,28,28,16,10,22,23,2,1,19,19,8,14,3,3,19,16,28,28,28,24,9,9,24,23,26,26,27,14,28,29,4,6,26,25,5,1,23,23,15,15,27,28
LAL vs MEM,2023-11-13,1,241.0,0.5,0.5,0.2,0.2,12,12,28,28,23,23,25,25,15,15,19,19,16,16,14,14,14,14,16,16,2,2,3,3,10,10,26,26,14,14,7,7,25,25,5,5,29,29,26,26,20,20,5,5,12,12,29,29,2,2,26,26,15,15,17,17
LAL vs POR,2023-11-11,1,226.0,0.444,0.444,0.375,0.375,14,14,22,22,25,25,22,22,14,14,30,30,16,16,26,26,15,15,30,30,1,1,17,17,13,13,16,16,17,17,8,8,25,25,27,27,28,28,29,29,19,19,26,26,13,13,29,29,6,6,18,18,16,16,8,8
LAL vs LAC,2023-10-31,1,255.0,0.5,0.5,0.75,0.75,7,7,2,2,18,18,1,1,9,9,2,2,10,10,13,13,8,8,6,6,7,7,11,11,17,17,26,26,13,13,1,1,12,12,7,7,28,28,1,1,13,13,15,15,15,15,3,3,3,3,7,7,12,12,23,23
