MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
PHI vs CLE,2023-11-20,0,241.0,0.8,0.769,0.6,0.538,2,2,8,13,4,3,10,17,9,10,21,23,8,12,15,20,16,18,24,26,18,10,16,14,7,3,21,7,11,12,14,18,26,30,22,22,12,6,24,22,11,22,24,25,13,7,7,11,8,6,11,16,1,1,12,17
PHI vs BOS,2023-11-14,0,224.0,0.8,0.8,0.8,0.8,1,2,1,2,2,2,1,1,10,12,14,16,9,11,6,7,17,17,18,18,6,7,19,19,9,7,5,5,10,10,29,29,29,29,5,6,12,11,8,8,20,22,18,20,5,4,12,12,3,5,21,21,1,1,8,8
PHI vs IND,2023-11-13,0,258.0,0.889,0.889,0.6,0.6,1,1,6,6,2,2,10,10,19,19,1,1,13,13,18,18,21,21,1,1,4,4,9,9,4,4,7,7,10,10,15,15,27,27,6,6,6,6,2,2,26,26,4,4,6,6,2,2,8,8,27,27,3,3,6,6
PHI vs IND,2023-11-11,1,263.0,0.875,0.875,0.667,0.667,2,2,5,5,2,2,7,7,23,23,3,3,19,19,14,14,23,23,1,1,5,5,10,10,4,4,10,10,8,8,19,19,29,29,5,5,13,13,3,3,27,27,4,4,9,9,2,2,7,7,28,28,2,2,6,6
PHI vs BOS,2023-11-07,1,209.0,0.833,0.833,0.833,0.833,4,4,4,4,3,3,1,1,23,23,20,20,24,24,16,16,23,23,29,29,6,6,21,21,6,6,4,4,12,12,24,24,29,29,11,11,5,5,11,11,27,27,24,24,3,3,7,7,9,9,20,20,3,3,5,5
PHI vs WAS,2023-11-05,1,274.0,0.8,0.8,0.2,0.2,5,5,29,29,3,3,29,29,25,25,26,26,25,25,29,29,27,27,19,19,8,8,24,24,6,6,4,4,20,20,15,15,29,29,26,26,6,6,20,20,29,29,25,25,6,6,11,11,18,18,26,26,5,5,28,28
PHI vs PHX,2023-11-03,1,212.0,0.75,0.75,0.4,0.4,6,6,17,17,3,3,12,12,27,27,22,22,28,28,17,17,28,28,18,18,8,8,12,12,2,2,21,21,19,19,22,22,30,30,22,22,5,5,11,11,30,30,23,23,7,7,8,8,17,17,19,19,5,5,8,8
PHI vs TOR,2023-11-01,1,213.0,0.667,0.667,0.4,0.4,10,10,10,10,6,6,13,13,30,30,10,10,30,30,4,4,30,30,6,6,7,7,7,7,1,1,26,26,27,27,15,15,30,30,9,9,4,4,14,14,30,30,10,10,5,5,20,20,21,21,21,21,8,8,25,25
