MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
BKN vs PHI,2023-11-18,0,220.0,0.6,0.5,0.8,0.75,10,14,1,2,12,16,2,2,15,18,7,8,8,8,4,12,19,17,15,21,15,18,5,8,11,7,15,7,27,29,13,14,5,6,27,28,9,6,19,10,9,13,13,22,23,18,11,7,27,27,3,3,22,21,1,1
BKN vs ORL,2023-11-13,1,228.0,0.5,0.5,0.556,0.556,12,12,12,12,14,14,8,8,12,12,29,29,4,4,24,24,9,9,28,28,12,12,21,21,12,12,19,19,30,30,6,6,4,4,29,29,8,8,27,27,6,6,27,27,18,18,23,23,29,29,6,6,14,14,21,21
BKN vs WAS,2023-11-11,1,196.0,0.444,0.444,0.25,0.25,14,14,28,28,15,15,28,28,11,11,22,22,8,8,30,30,9,9,11,11,13,13,14,14,6,6,6,6,30,30,17,17,7,7,20,20,2,2,14,14,9,9,22,22,16,16,5,5,30,30,25,25,14,14,24,24
BKN vs LAC,2023-11-07,1,193.0,0.429,0.429,0.5,0.5,13,13,13,13,15,15,5,5,9,9,24,24,12,12,27,27,9,9,26,26,17,17,26,26,7,7,15,15,30,30,6,6,4,4,25,25,7,7,1,1,9,9,28,28,9,9,2,2,26,26,23,23,21,21,26,26
BKN vs MIL,2023-11-05,0,254.0,0.5,0.5,0.6,0.6,9,9,9,9,11,11,21,21,14,14,27,27,14,14,29,29,11,11,30,30,18,18,26,26,12,12,8,8,28,28,22,22,8,8,24,24,3,3,4,4,16,16,30,30,10,10,13,13,21,21,7,7,21,21,22,22
BKN vs BOS,2023-11-03,0,238.0,0.6,0.6,1.0,1.0,6,6,3,3,10,10,1,1,17,17,25,25,14,14,22,22,10,10,29,29,14,14,17,17,15,15,4,4,27,27,30,30,14,14,23,23,2,2,4,4,19,19,26,26,6,6,2,2,23,23,28,28,20,20,2,2
