MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
PHX vs GSW,2023-11-21,1,238.0,0.6,0.571,0.364,0.467,10,11,20,16,13,11,23,17,11,9,8,2,21,13,3,1,11,8,1,1,1,1,28,26,17,23,25,23,21,19,17,10,19,14,3,3,1,2,15,15,23,18,3,1,12,10,28,26,9,6,7,5,4,4,9,11
PHX vs POR,2023-11-20,1,227.0,0.5,0.538,0.222,0.231,15,13,27,26,16,14,28,29,11,15,30,29,18,18,27,25,7,15,30,30,1,1,21,18,21,22,20,26,20,24,12,8,12,15,23,21,1,2,30,30,15,23,27,21,15,14,29,30,10,9,25,23,7,4,19,12
PHX vs MIN,2023-11-14,1,248.0,0.333,0.4,0.8,0.8,23,20,1,2,16,16,3,3,29,23,22,22,27,13,8,10,27,20,20,21,8,3,9,10,14,26,25,24,23,21,16,16,25,21,26,27,10,13,6,6,30,26,25,27,23,23,6,5,15,9,16,16,5,5,20,20
PHX vs OKC,2023-11-11,0,210.0,0.444,0.444,0.556,0.556,14,14,8,8,13,13,14,14,12,12,8,8,6,6,21,21,10,10,19,19,2,2,8,8,28,28,21,21,13,13,20,20,12,12,21,21,10,10,6,6,17,17,18,18,18,18,3,3,8,8,13,13,7,7,1,1
PHX vs LAL,2023-11-09,0,241.0,0.5,0.5,0.375,0.375,11,11,19,19,14,14,28,28,13,13,16,16,12,12,18,18,10,10,14,14,1,1,3,3,28,28,14,14,17,17,19,19,16,16,25,25,16,16,30,30,21,21,19,19,18,18,15,15,6,6,6,6,5,5,16,16
PHX vs SAS,2023-11-01,0,253.0,0.5,0.5,0.5,0.5,10,10,10,10,8,8,28,28,24,24,24,24,19,19,27,27,21,21,15,15,12,12,12,12,18,18,20,20,23,23,11,11,24,24,19,19,16,16,20,20,27,27,23,23,10,10,15,15,25,25,24,24,4,4,21,21
