MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
SAS vs LAC,2023-11-21,0,211.0,0.1,0.214,0.25,0.417,28,26,26,22,30,30,21,8,26,19,30,29,20,18,30,28,5,3,30,30,5,3,29,27,20,26,1,4,29,23,12,3,12,11,30,28,20,21,25,8,11,5,30,30,23,23,24,14,30,27,26,23,21,22,10,14
SAS vs LAC,2023-11-19,0,223.0,0.2,0.231,0.25,0.364,26,25,26,23,30,30,22,14,23,16,30,29,21,20,30,28,3,2,30,30,3,5,28,27,16,24,2,7,26,20,17,7,13,11,30,28,12,17,17,8,14,10,29,30,21,21,24,13,29,28,28,23,18,22,14,17
SAS vs MEM,2023-11-17,0,228.0,0.2,0.25,0.222,0.182,26,25,26,28,30,30,25,26,22,17,29,29,22,20,29,28,6,2,25,25,5,5,7,3,21,25,7,10,21,19,18,15,14,13,8,6,14,17,24,26,10,5,24,25,24,18,29,30,29,29,30,30,21,22,25,20
SAS vs SAC,2023-11-16,0,249.0,0.3,0.273,0.556,0.6,24,24,15,10,30,30,17,16,20,20,28,28,22,22,26,27,5,4,19,17,4,5,25,23,25,27,5,4,20,21,15,16,14,15,9,7,20,20,26,24,10,11,27,27,21,19,24,23,30,30,20,19,22,23,30,29
SAS vs MIA,2023-11-11,0,231.0,0.333,0.333,0.556,0.556,22,22,8,8,30,30,16,16,13,13,19,19,23,23,16,16,6,6,11,11,5,5,28,28,22,22,24,24,13,13,3,3,14,14,17,17,21,21,8,8,7,7,19,19,14,14,20,20,24,24,18,18,25,25,3,3
SAS vs MIN,2023-11-09,0,227.0,0.375,0.375,0.714,0.714,19,19,6,6,30,30,4,4,12,12,30,30,21,21,23,23,6,6,27,27,9,9,11,11,21,21,12,12,17,17,21,21,16,16,28,28,22,22,9,9,9,9,30,30,12,12,9,9,25,25,27,27,19,19,22,22
SAS vs TOR,2023-11-04,0,239.0,0.6,0.6,0.333,0.333,9,9,18,18,25,25,16,16,25,25,19,19,28,28,7,7,10,10,8,8,20,20,15,15,14,14,27,27,15,15,21,21,22,22,16,16,15,15,18,18,23,23,15,15,13,13,19,19,29,29,24,24,16,16,25,25
