MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
OKC vs CHI,2023-11-21,1,218.0,0.7,0.714,0.273,0.333,6,2,22,22,1,2,22,23,9,6,12,12,22,21,14,10,18,14,21,23,12,7,12,16,16,21,6,6,6,6,2,2,23,23,10,12,2,1,19,27,20,16,6,2,2,2,26,27,17,15,23,16,1,1,8,8
OKC vs SAS,2023-11-13,1,210.0,0.6,0.6,0.3,0.3,6,6,23,23,12,12,30,30,7,7,13,13,25,25,20,20,19,19,3,3,5,5,5,5,16,16,24,24,15,15,20,20,22,22,12,12,4,4,19,19,19,19,7,7,4,4,13,13,12,12,28,28,1,1,20,20
OKC vs CLE,2023-11-07,1,248.0,0.571,0.571,0.429,0.429,6,6,13,13,14,14,18,18,10,10,19,19,20,20,10,10,17,17,19,19,8,8,7,7,19,19,13,13,22,22,15,15,22,22,10,10,6,6,26,26,19,19,15,15,5,5,25,25,12,12,17,17,1,1,13,13
OKC vs ATL,2023-11-05,1,243.0,0.5,0.5,0.667,0.667,9,9,5,5,14,14,6,6,16,16,9,9,23,23,13,13,19,19,11,11,13,13,24,24,20,20,17,17,24,24,10,10,22,22,19,19,8,8,19,19,22,22,15,15,4,4,5,5,15,15,4,4,3,3,1,1
OKC vs GSW,2023-11-02,0,280.0,0.6,0.6,0.8,0.8,6,6,1,1,15,15,4,4,10,10,8,8,18,18,5,5,15,15,6,6,4,4,10,10,18,18,22,22,17,17,8,8,18,18,4,4,13,13,15,15,17,17,10,10,11,11,15,15,12,12,20,20,2,2,14,14
OKC vs NOP,2023-10-31,0,218.0,0.75,0.75,0.667,0.667,2,2,7,7,15,15,19,19,5,5,29,29,17,17,24,24,13,13,30,30,1,1,24,24,20,20,8,8,12,12,22,22,19,19,25,25,6,6,24,24,17,17,27,27,9,9,20,20,12,12,25,25,5,5,30,30
