MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
GSW vs HOU,2023-11-19,1,237.0,0.364,0.429,0.75,0.545,20,16,10,16,21,17,3,7,5,3,29,30,1,1,29,29,2,1,29,28,26,26,28,29,26,25,1,1,12,7,30,29,4,3,29,27,21,22,3,13,2,1,30,29,28,26,10,17,7,6,30,30,12,11,22,24
GSW vs OKC,2023-11-17,0,253.0,0.455,0.462,0.6,0.667,16,14,8,5,17,17,7,4,6,2,14,9,1,1,27,24,1,4,18,15,26,26,9,5,26,26,13,18,14,6,6,6,3,3,24,24,21,21,7,1,1,1,20,19,27,26,5,3,7,7,11,12,12,12,2,2
GSW vs OKC,2023-11-15,0,237.0,0.545,0.5,0.6,0.636,7,10,7,6,10,11,9,6,4,3,11,11,1,1,26,26,2,3,20,16,27,26,5,4,28,27,13,16,7,5,7,8,3,3,25,24,17,21,16,6,2,2,21,21,25,26,5,3,7,7,12,13,12,12,1,2
GSW vs MIN,2023-11-13,0,205.0,0.545,0.545,0.778,0.778,6,6,5,5,10,10,3,3,2,2,27,27,1,1,15,15,4,4,25,25,25,25,10,10,27,27,14,14,4,4,21,21,3,3,28,28,21,21,11,11,2,2,30,30,26,26,3,3,3,3,21,21,12,12,24,24
GSW vs MIN,2023-11-11,0,226.0,0.6,0.6,0.75,0.75,5,5,5,5,9,9,4,4,1,1,26,26,2,2,18,18,3,3,26,26,22,22,12,12,26,26,16,16,5,5,22,22,2,2,28,28,17,17,7,7,1,1,30,30,21,21,6,6,4,4,22,22,15,15,22,22
GSW vs CLE,2023-11-10,0,228.0,0.667,0.667,0.375,0.375,4,4,21,21,7,7,20,20,7,7,27,27,4,4,23,23,6,6,25,25,24,24,13,13,17,17,7,7,7,7,21,21,6,6,17,17,17,17,26,26,8,8,24,24,21,21,23,23,11,11,20,20,16,16,14,14
GSW vs SAC,2023-10-31,1,203.0,0.75,0.75,0.667,0.667,2,2,7,7,3,3,12,12,4,4,19,19,2,2,25,25,5,5,20,20,11,11,16,16,20,20,1,1,5,5,24,24,1,1,9,9,14,14,16,16,4,4,19,19,13,13,16,16,10,10,21,21,14,14,20,20
