MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
DEN vs LAC,2023-11-13,1,219.0,0.8,0.8,0.333,0.333,1,1,23,23,3,3,12,12,10,10,25,25,10,10,29,29,5,5,29,29,5,5,27,27,9,9,20,20,15,15,3,3,17,17,23,23,16,16,7,7,13,13,28,28,1,1,7,7,30,30,22,22,30,30,16,16
DEN vs GSW,2023-11-07,1,213.0,0.875,0.875,0.75,0.75,1,1,2,2,1,1,6,6,1,1,2,2,4,4,2,2,1,1,2,2,1,1,12,12,26,26,27,27,4,4,2,2,7,7,1,1,12,12,14,14,4,4,1,1,1,1,18,18,17,17,3,3,29,29,14,14
DEN vs NOP,2023-11-05,1,250.0,0.857,0.857,0.667,0.667,1,1,5,5,2,2,16,16,2,2,20,20,7,7,16,16,1,1,21,21,3,3,17,17,23,23,9,9,5,5,16,16,11,11,17,17,13,13,23,23,8,8,18,18,1,1,25,25,20,20,10,10,30,30,25,25
DEN vs CHI,2023-11-03,1,224.0,0.833,0.833,0.333,0.333,1,1,17,17,4,4,28,28,4,4,8,8,7,7,11,11,1,1,19,19,1,1,14,14,24,24,12,12,9,9,5,5,10,10,12,12,16,16,26,26,6,6,2,2,1,1,27,27,27,27,13,13,30,30,9,9
DEN vs DAL,2023-11-02,1,239.0,0.8,0.8,1.0,1.0,1,1,1,1,5,5,5,5,11,11,21,21,16,16,23,23,5,5,29,29,1,1,27,27,17,17,2,2,15,15,30,30,20,20,9,9,18,18,3,3,11,11,26,26,1,1,9,9,29,29,18,18,30,30,20,20
