MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
DET vs DEN,2023-11-19,0,210.0,0.0,0.143,0.6,0.692,30,29,10,4,29,26,8,5,10,7,21,13,5,2,16,16,3,3,6,4,13,6,14,9,30,30,4,7,24,28,28,23,21,23,23,21,23,20,27,18,5,4,22,16,22,20,5,2,13,13,25,27,6,7,30,30
DET vs ATL,2023-11-13,0,246.0,0.182,0.182,0.556,0.556,28,28,12,12,23,23,9,9,5,5,22,22,2,2,18,18,2,2,20,20,8,8,25,25,30,30,14,14,28,28,11,11,20,20,18,18,12,12,18,18,3,3,23,23,16,16,15,15,15,15,10,10,5,5,4,4
DET vs PHI,2023-11-09,0,220.0,0.222,0.222,0.857,0.857,26,26,2,2,21,21,3,3,5,5,24,24,2,2,23,23,4,4,24,24,6,6,5,5,29,29,5,5,24,24,13,13,18,18,29,29,8,8,10,10,6,6,27,27,17,17,4,4,18,18,14,14,4,4,2,2
DET vs GSW,2023-11-05,0,229.0,0.286,0.286,0.714,0.714,21,21,2,2,16,16,8,8,5,5,1,1,3,3,5,5,3,3,2,2,5,5,13,13,30,30,23,23,20,20,3,3,18,18,2,2,9,9,10,10,6,6,4,4,18,18,17,17,16,16,3,3,9,9,14,14
DET vs PHX,2023-11-04,0,226.0,0.333,0.333,0.333,0.333,18,18,18,18,12,12,12,12,11,11,10,10,5,5,13,13,5,5,13,13,6,6,4,4,29,29,26,26,25,25,12,12,21,21,14,14,7,7,17,17,8,8,18,18,20,20,17,17,15,15,9,9,10,10,7,7
DET vs POR,2023-10-31,0,211.0,0.5,0.5,0.25,0.25,7,7,20,20,11,11,27,27,6,6,17,17,1,1,9,9,2,2,24,24,1,1,14,14,30,30,26,26,26,26,9,9,22,22,12,12,4,4,29,29,9,9,6,6,14,14,28,28,11,11,18,18,11,11,4,4
