MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
UTA vs DEN,2023-04-07,1,232.0,0.273,0.45,0.5,0.65,23,22,17,4,24,22,18,6,10,11,25,13,2,7,20,20,11,13,20,2,9,7,18,20,24,27,9,19,30,30,17,11,10,5,26,27,25,19,23,4,10,15,22,23,20,18,18,1,8,13,23,24,21,15,24,26
UTA vs OKC,2023-04-05,0,212.0,0.3,0.456,0.364,0.475,23,22,20,19,22,21,23,15,17,11,8,5,7,7,12,13,17,12,26,21,10,5,28,22,13,26,8,5,30,30,11,4,16,5,11,12,24,19,27,18,14,15,7,1,23,19,28,24,10,12,4,14,20,15,4,6
UTA vs LAL,2023-04-03,0,268.0,0.333,0.462,0.7,0.513,23,22,2,14,24,21,4,16,26,8,11,11,13,5,8,6,21,10,20,16,9,5,20,17,9,26,19,15,30,30,15,25,21,5,23,26,27,19,17,26,24,13,23,15,25,19,8,10,18,12,1,1,23,15,16,20
UTA vs PHX,2023-03-26,0,220.0,0.444,0.473,0.333,0.527,19,22,23,11,22,21,16,9,23,9,25,24,13,8,26,13,20,10,15,4,11,5,8,10,11,26,4,13,30,30,26,18,15,5,27,19,21,19,12,7,23,15,25,12,21,18,12,21,22,15,29,28,16,16,8,11
UTA vs MIL,2023-03-23,0,260.0,0.444,0.486,0.7,0.722,22,20,4,1,25,19,4,4,24,11,10,13,15,8,9,1,22,11,6,17,2,5,3,11,17,26,15,20,30,30,27,29,16,5,7,4,20,16,5,12,26,16,15,10,20,17,3,20,22,16,14,22,11,14,24,28
UTA vs POR,2023-03-21,0,242.0,0.5,0.493,0.2,0.437,19,18,29,25,22,18,30,24,30,11,20,24,22,8,20,27,29,11,25,23,6,6,11,22,10,25,23,19,30,29,10,24,26,5,8,10,17,16,28,9,30,17,21,29,17,16,27,12,29,17,10,9,6,14,14,7
UTA vs SAC,2023-03-19,1,248.0,0.375,0.486,0.8,0.614,27,20,2,6,26,18,5,8,30,12,11,2,24,8,16,25,30,12,8,5,4,6,27,29,14,26,8,10,30,29,28,23,26,6,9,7,25,16,3,8,30,17,20,25,24,16,4,2,28,17,5,9,15,14,21,9
UTA vs BOS,2023-03-17,1,235.0,0.375,0.478,0.545,0.69,26,20,7,2,22,18,11,2,30,13,7,2,25,9,5,7,29,14,7,7,3,7,7,6,17,26,20,9,30,29,14,27,28,6,2,2,26,17,18,7,29,18,6,13,20,16,23,15,28,18,13,24,14,14,15,3
UTA vs SAS,2023-02-27,0,196.0,0.571,0.5,0.0,0.23,10,14,29,29,20,15,30,30,13,2,22,24,6,5,12,21,10,9,19,5,1,8,21,25,28,27,27,26,30,25,16,21,16,5,20,27,22,14,23,25,11,9,9,5,16,15,28,21,10,14,18,28,11,12,22,28
UTA vs SAS,2023-02-24,1,220.0,0.429,0.492,0.0,0.233,17,15,29,29,23,16,29,30,18,1,23,22,8,6,13,18,19,9,19,4,3,9,28,25,26,26,28,27,30,25,12,20,17,4,20,26,29,16,25,25,13,9,12,3,21,16,29,19,16,13,22,28,11,13,21,28
