MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
WAS vs HOU,2023-04-08,0,223.0,0.3,0.432,0.273,0.259,23,23,23,28,23,23,27,28,18,22,11,28,20,14,8,4,17,14,29,30,16,10,26,18,12,16,27,29,23,23,3,12,16,23,21,21,20,17,28,30,16,20,9,14,12,8,25,29,22,22,4,4,23,14,16,25
WAS vs MIA,2023-04-06,1,222.0,0.182,0.425,0.556,0.538,27,23,16,11,24,23,18,21,9,23,28,30,15,14,30,28,11,14,27,25,12,9,30,30,16,16,2,7,16,23,27,6,12,24,20,10,17,17,12,26,10,20,30,27,15,8,13,26,21,24,29,19,20,14,1,2
WAS vs MIL,2023-04-03,0,268.0,0.3,0.436,0.7,0.718,23,23,2,1,23,22,11,4,19,24,8,9,18,15,6,1,15,15,8,12,9,10,11,11,17,16,13,20,21,23,21,29,12,24,6,4,20,17,22,13,16,22,10,9,14,8,2,18,26,24,9,21,11,14,28,28
WAS vs ORL,2023-03-30,0,225.0,0.3,0.447,0.556,0.421,24,23,14,25,24,22,15,24,20,23,28,28,19,15,19,18,14,14,24,26,8,9,15,16,10,16,17,23,26,23,11,12,21,24,25,27,28,18,27,24,17,22,24,23,8,7,20,20,22,23,27,8,11,15,5,14
WAS vs BOS,2023-03-27,1,241.0,0.273,0.44,0.778,0.693,26,23,3,2,25,23,1,1,11,24,23,3,14,15,24,7,9,14,21,7,8,8,17,6,26,16,3,6,17,23,23,26,18,24,7,2,25,18,4,6,11,22,27,15,4,7,10,15,19,22,28,26,10,13,24,4
WAS vs SAS,2023-03-23,1,260.0,0.182,0.438,0.3,0.26,29,24,25,28,26,23,30,30,14,23,19,25,12,15,13,17,8,14,12,3,9,7,17,25,25,16,27,27,11,22,17,20,23,24,10,23,29,19,9,24,10,24,11,4,10,8,28,25,21,21,26,29,5,13,30,29
WAS vs DEN,2023-03-21,0,222.0,0.273,0.444,0.444,0.667,27,23,19,3,26,23,17,6,12,23,29,8,10,13,28,20,7,13,14,2,9,7,22,21,26,17,5,21,12,22,25,11,20,25,28,27,21,18,18,2,10,24,28,24,10,8,4,1,19,21,27,24,4,13,19,25
WAS vs SAC,2023-03-17,0,250.0,0.364,0.457,0.8,0.609,20,22,1,6,26,23,6,8,14,24,12,3,10,13,16,24,9,15,5,6,12,7,30,29,26,17,14,11,16,22,29,23,26,25,10,7,25,18,4,10,10,22,23,23,9,8,3,2,19,22,6,9,9,13,18,9
WAS vs DET,2023-03-13,1,214.0,0.3,0.456,0.1,0.232,23,22,30,29,26,21,25,28,15,24,17,23,15,13,5,16,10,14,13,26,16,9,8,25,26,17,27,25,16,22,14,14,21,24,16,16,14,16,26,21,14,23,12,15,10,7,23,26,25,21,19,1,10,14,27,21
WAS vs ATL,2023-03-09,0,221.0,0.375,0.47,0.571,0.5,17,21,10,16,19,19,9,17,12,22,15,8,14,12,25,15,8,14,23,19,19,9,20,12,27,17,11,3,12,21,15,20,19,23,27,28,8,14,3,19,14,23,23,5,7,7,2,9,26,22,20,26,9,14,7,4
