MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
SAC vs GSW,2023-04-06,0,216.0,0.545,0.6,0.6,0.525,10,7,10,12,6,7,14,15,3,1,14,3,4,20,10,9,2,3,10,1,21,29,16,26,4,9,23,29,12,22,15,17,1,6,4,1,11,9,20,3,5,16,15,8,11,2,22,13,7,5,21,30,19,9,13,11
SAC vs SAS,2023-04-01,0,276.0,0.636,0.61,0.182,0.247,3,7,28,28,6,7,29,30,2,1,8,26,1,22,3,16,1,4,1,6,20,29,12,25,4,8,28,26,18,21,10,20,1,7,3,22,3,8,17,25,4,19,1,3,17,2,29,25,4,7,16,29,20,10,30,29
SAC vs MIN,2023-03-26,0,234.0,0.727,0.608,0.444,0.507,2,7,19,14,11,8,20,19,3,2,26,7,8,24,28,23,2,5,14,8,26,29,17,4,5,9,9,28,16,22,16,5,2,7,28,13,4,8,7,15,6,18,27,16,15,2,13,3,3,8,11,16,25,9,29,23
SAC vs UTA,2023-03-24,1,234.0,0.636,0.603,0.444,0.479,5,7,17,21,12,8,23,22,4,2,24,9,10,23,15,8,5,4,21,9,23,29,7,5,2,9,9,26,23,23,30,30,4,7,16,5,2,8,20,17,9,19,23,15,12,2,22,18,3,8,19,14,26,9,12,14
SAC vs PHX,2023-03-23,1,262.0,0.636,0.597,0.444,0.528,4,7,22,12,14,8,13,9,2,2,23,26,6,24,27,16,2,4,21,6,24,29,14,10,7,10,5,12,25,23,24,15,3,8,22,21,2,8,11,5,9,23,25,12,9,2,11,21,3,8,29,28,25,10,7,12
SAC vs BOS,2023-03-20,0,241.0,0.727,0.606,0.5,0.681,2,7,12,2,5,8,7,2,6,2,18,3,6,24,12,7,4,3,15,7,27,29,17,7,9,10,11,6,27,22,20,27,6,7,4,2,2,8,13,7,7,20,16,15,7,2,25,15,3,7,19,25,21,9,16,3
SAC vs MIL,2023-03-12,0,257.0,0.889,0.606,0.778,0.716,1,6,2,1,5,7,1,5,2,5,9,16,17,27,5,1,4,7,6,17,29,29,10,11,17,10,13,20,7,22,26,28,11,9,4,4,5,10,4,11,19,27,8,12,1,2,10,23,4,10,25,23,19,9,12,29
SAC vs NYK,2023-03-08,1,239.0,0.857,0.594,0.857,0.582,2,7,2,6,5,8,3,7,6,4,14,6,19,27,16,2,4,6,28,29,30,29,19,24,16,8,18,4,16,23,29,30,12,9,10,7,4,10,6,22,17,26,22,5,1,2,4,24,7,12,13,4,20,9,29,22
SAC vs NOP,2023-03-05,1,231.0,0.714,0.587,0.286,0.484,5,8,25,18,10,8,24,13,10,4,29,21,16,26,26,16,11,7,29,14,29,29,28,24,16,10,7,19,21,22,8,2,14,8,28,29,6,10,30,21,23,26,29,18,1,2,21,12,9,12,20,9,10,7,8,17
SAC vs MIN,2023-03-03,0,272.0,0.857,0.597,0.5,0.508,3,8,16,12,8,8,18,20,7,4,28,4,12,26,24,22,10,7,28,8,30,29,8,4,20,11,13,28,11,22,11,3,10,8,27,12,14,10,18,18,16,25,28,14,1,2,16,4,7,11,30,16,6,7,30,23
SAC vs LAC,2023-03-02,1,255.0,0.714,0.59,0.286,0.508,6,8,22,11,12,8,24,21,10,8,15,11,15,26,24,9,12,7,15,22,29,29,22,14,20,10,20,21,11,21,17,15,12,8,14,10,12,10,9,6,21,27,20,14,1,3,10,17,5,12,15,11,11,8,3,16
SAC vs POR,2023-02-22,1,249.0,0.429,0.561,0.429,0.483,15,10,15,19,23,8,24,21,12,11,11,20,24,27,27,26,14,9,18,22,21,29,18,22,12,9,7,17,19,23,26,30,9,8,7,12,20,9,15,8,20,27,22,28,8,3,16,9,10,15,11,9,2,8,1,7
SAC vs DAL,2023-02-10,1,261.0,0.455,0.564,0.6,0.544,14,8,6,8,16,7,13,13,5,5,20,18,17,27,22,29,4,7,27,29,19,29,29,26,23,11,7,2,12,22,24,24,7,7,5,3,13,10,12,12,12,23,23,26,4,3,22,18,8,13,11,2,5,8,21,27
SAC vs DAL,2023-02-09,0,236.0,0.545,0.574,0.6,0.536,7,8,7,10,13,7,11,14,7,9,21,18,15,27,24,29,5,7,25,30,20,29,27,25,23,11,7,2,10,22,23,23,5,7,6,3,15,9,11,13,8,25,24,27,6,3,23,18,8,13,6,2,2,7,24,27
