MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
IND vs DET,2023-04-06,0,237.0,0.2,0.425,0.0,0.2,27,23,30,30,27,25,28,29,18,10,29,29,22,25,28,21,14,6,30,27,15,2,29,27,29,23,11,24,22,8,29,20,26,7,28,19,13,14,23,22,18,10,29,19,12,23,27,30,11,17,17,2,14,13,11,21
IND vs NYK,2023-04-04,0,267.0,0.3,0.43,0.625,0.582,24,23,16,8,25,25,11,8,15,12,28,13,20,24,28,4,11,6,29,29,18,2,24,23,25,23,4,4,22,9,18,28,21,7,27,8,12,13,3,20,16,11,30,13,10,23,1,21,15,18,27,4,15,13,25,22
IND vs OKC,2023-03-30,1,238.0,0.3,0.429,0.636,0.494,24,24,2,16,27,26,17,12,13,7,6,4,16,24,6,11,12,4,25,20,12,2,26,21,26,24,13,5,23,8,5,3,16,6,9,11,18,13,24,17,13,9,3,1,9,22,29,24,13,18,6,17,24,12,2,6
IND vs MIL,2023-03-28,0,285.0,0.4,0.434,0.7,0.72,20,24,2,1,26,26,7,5,12,7,9,11,18,25,4,1,12,4,4,14,4,2,2,11,27,24,13,19,25,8,26,28,16,6,4,4,20,14,16,12,15,8,12,9,12,23,8,19,13,17,19,22,18,12,26,28
IND vs DAL,2023-03-26,0,231.0,0.4,0.44,0.3,0.48,19,23,23,20,25,26,23,16,12,8,21,14,19,25,23,30,8,6,26,28,4,2,24,28,27,24,9,2,23,8,29,25,12,6,6,3,15,13,13,9,15,8,20,28,3,22,25,17,12,18,19,2,20,12,9,25
IND vs PHI,2023-03-17,0,262.0,0.667,0.457,0.727,0.681,7,22,1,3,13,25,1,3,23,12,2,19,28,25,9,28,18,5,6,18,2,2,9,13,1,20,17,6,23,8,11,9,15,5,14,21,9,12,1,1,25,12,17,30,4,24,1,7,27,19,1,8,25,12,1,1
IND vs HOU,2023-03-08,1,259.0,0.5,0.439,0.286,0.231,16,25,26,29,15,25,26,29,25,13,21,30,30,25,14,6,21,5,23,30,7,2,24,13,2,22,10,30,24,8,14,18,21,6,29,20,7,12,26,30,29,11,13,20,3,25,14,29,29,19,21,8,22,11,28,24
IND vs PHI,2023-03-05,0,290.0,0.571,0.446,0.625,0.651,11,24,5,4,14,25,6,5,21,12,9,27,27,24,21,29,11,5,15,20,3,2,12,19,5,23,11,5,18,8,16,9,13,6,15,22,8,13,2,2,21,10,19,30,8,25,11,8,27,17,2,11,10,10,2,1
IND vs BOS,2023-02-22,0,280.0,0.25,0.433,0.714,0.712,25,24,5,1,26,25,6,1,8,8,18,3,13,22,11,8,4,5,10,6,5,2,18,7,24,25,12,8,6,7,25,28,3,6,2,2,12,14,2,7,3,6,23,16,25,25,21,15,23,17,29,25,23,9,14,3
IND vs CHI,2023-02-14,1,230.0,0.1,0.424,0.4,0.456,29,25,19,23,28,25,16,22,22,9,25,27,26,21,12,24,15,5,20,22,8,2,21,21,17,24,25,9,10,6,18,12,9,6,29,30,15,14,28,17,17,7,22,25,23,25,12,6,25,16,21,25,25,9,10,5
